车牌号,部门,绝色出行天数,行驶天数,油耗,碳排放.kg.,绿色出行减排.kg.
粤B3Q03K,02有排行无提醒,0,7,65.81,148.34,0
闽C88DN2,02有排行无提醒,0,2,2.03,4.58,0
粤B3Q03K,02有排行无提醒,0,31,416.96,939.83,0
闽C88DN2,02有排行无提醒,0,31,52.21,117.68,0
粤JCL629,02有排行无提醒,8,15,85.55,192.83,102.84
粤B9XN26,02有排行无提醒,0,10,109.43,246.66,0
粤BN8G52,02有排行无提醒,0,10,11.98,27,0
粤B7U0H5,02有排行无提醒,2,9,23.5,52.97,11.77
粤B3Q03K,02有排行无提醒,0,31,355.81,802,0
粤B7U0H5,02有排行无提醒,6,25,40.11,90.41,21.7
闽C88DN2,02有排行无提醒,28,3,4.98,11.22,104.77
粤BN8G52,02有排行无提醒,0,0,0,0,0
粤JCL629,02有排行无提醒,15,16,119.63,269.65,252.79
粤B9XN26,02有排行无提醒,7,24,210.09,473.54,138.12
皖AYY059,02有排行无提醒,4,4,13.79,31.08,31.08
皖AT0540,04无排行无提醒,0,30,1307.13,2946.27,0
皖AT0626,01有排行有提醒,5,25,491.69,1108.27,221.65
粤B0Y92H,04无排行无提醒,13,17,162.49,366.25,280.08
粤B3Q03K,02有排行无提醒,1,29,407.74,919.05,31.69
粤L39ES3,01有排行有提醒,0,26,224.94,507.01,0
粤JCL629,02有排行无提醒,18,12,59.95,135.13,202.69
粤BT2220,01有排行有提醒,0,30,413,930.9,0
粤B9XN26,02有排行无提醒,5,25,246.46,555.52,111.1
粤B2X562,03无排行有提醒,1,29,72.87,164.25,5.66
粤B3R80W,01有排行有提醒,2,28,94.71,213.48,15.25
粤B892VK,03无排行有提醒,28,2,2.92,6.58,92.14
粤B2K335,01有排行有提醒,0,30,94.27,212.48,0
粤B7U0H5,02有排行无提醒,26,4,5.01,11.29,73.4
粤STC809,03无排行有提醒,0,30,395.89,892.34,0
粤PR5795,04无排行无提醒,8,22,38.71,87.25,31.73
粤STB959,04无排行无提醒,16,14,31.08,70.05,80.06
粤BN8G52,02有排行无提醒,0,0,0,0,0
粤BP439V,04无排行无提醒,7,23,98.71,222.49,67.72
皖AYY059,02有排行无提醒,30,0,0,0,236.4
渝D865V3,03无排行有提醒,30,0,0,0,303.6
粤TEST01,03无排行有提醒,0,0,0,0,0
粤B83CT2,04无排行无提醒,29,1,1.13,2.55,73.86
粤B4C0S6,04无排行无提醒,30,0,0,0,564.3
粤BY1047,03无排行有提醒,30,0,0,0,81
粤LBY602,01有排行有提醒,30,0,0,0,360.3
粤B3AU48,03无排行有提醒,30,0,0,0,111.3
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
粤S45B27,01有排行有提醒,30,0,0,0,1109.4
粤B533CJ,03无排行有提醒,30,0,0,0,148.2
粤B3RC91,04无排行无提醒,30,0,0,0,251.1
粤BH218W,01有排行有提醒,30,0,0,0,0
粤S09158,04无排行无提醒,30,0,0,0,299.7
粤B048RX,01有排行有提醒,0,0,0,0,0
粤BS207S,03无排行有提醒,0,9,27.6,62.21,0
皖AT0553,01有排行有提醒,0,24,841.25,1896.18,0
皖AT0576,02有排行无提醒,0,23,919.03,2071.49,0
粤SL3H57,02有排行无提醒,19,4,7.99,18.01,85.54
粤BL05M1,02有排行无提醒,5,1,1.97,4.44,22.2
皖AT0575,02有排行无提醒,0,3,111.66,251.68,0
皖AT0601,02有排行无提醒,0,3,158.83,358,0
皖AT0623,04无排行无提醒,0,3,110.16,248.3,0
皖AT0658,04无排行无提醒,0,3,91.38,205.97,0
皖AT0560,04无排行无提醒,0,3,167.59,377.75,0
皖AT0549,03无排行有提醒,0,3,179.29,404.12,0
皖AT0580,02有排行无提醒,0,3,64.11,144.5,0
皖AT0579,03无排行有提醒,0,3,95.54,215.35,0
皖AT0547,01有排行有提醒,0,3,154.43,348.09,0
皖AT0541,02有排行无提醒,0,3,174.5,393.32,0
皖AT0621,03无排行有提醒,0,3,139.57,314.59,0
皖AT0657,02有排行无提醒,0,3,155.49,350.47,0
皖AT0631,03无排行有提醒,0,3,126.51,285.15,0
皖AT0589,03无排行有提醒,0,3,97.43,219.61,0
皖AT0650,01有排行有提醒,0,3,142.51,321.22,0
皖AT0632,03无排行有提醒,0,3,165.72,373.53,0
皖AT0563,03无排行有提醒,0,2,23.57,53.13,0
皖AT0641,02有排行无提醒,0,3,97.56,219.9,0
皖AT0596,03无排行有提醒,0,3,120.54,271.7,0
皖AT0642,01有排行有提醒,0,2,67.03,151.09,0
皖AT0633,03无排行有提醒,0,3,134.8,303.84,0
皖AT0565,04无排行无提醒,0,3,124.88,281.48,0
皖AT0665,01有排行有提醒,0,3,102.68,231.44,0
皖AT0613,02有排行无提醒,0,3,121.39,273.61,0
皖AT0599,01有排行有提醒,0,3,92.58,208.68,0
皖AT0591,03无排行有提醒,0,3,144.26,325.16,0
皖AT0666,04无排行无提醒,0,3,93.85,211.54,0
皖AT0568,01有排行有提醒,0,3,55.33,124.71,0
皖AT0608,04无排行无提醒,0,2,56.25,126.79,0
皖AT0661,04无排行无提醒,0,3,91.51,206.26,0
皖AT0600,01有排行有提醒,0,3,126.23,284.52,0
皖AT0539,03无排行有提醒,0,3,132.05,297.64,0
皖AT0543,02有排行无提醒,2,1,14.79,33.34,66.67
皖AT0628,01有排行有提醒,0,3,98.52,222.06,0
皖AT0620,02有排行无提醒,0,3,60.18,135.65,0
皖AT0616,04无排行无提醒,0,3,86.75,195.53,0
皖AT0556,04无排行无提醒,0,1,5.29,11.92,0
皖AT0609,01有排行有提醒,0,1,0.94,2.12,0
1.22E+16,02有排行无提醒,2,1,0.82,1.85,3.7
1.22E+16,03无排行有提醒,2,1,0.26,0.59,1.17
皖AT0619,01有排行有提醒,0,2,22.39,50.47,0
皖AT0580,02有排行无提醒,0,31,624.08,1406.68,0
皖AT0541,02有排行无提醒,0,31,2030.29,4576.27,0
皖AT0657,02有排行无提醒,0,31,1743.53,3929.92,0
皖AT0576,02有排行无提醒,0,31,1747.35,3938.53,0
皖AT0601,02有排行无提醒,0,31,1672.08,3768.87,0
皖AT0641,02有排行无提醒,0,7,274.15,617.93,0
皖AT0613,02有排行无提醒,0,31,1304.93,2941.31,0
皖AT0575,02有排行无提醒,0,31,1571.63,3542.45,0
皖AT0620,02有排行无提醒,0,31,944.94,2129.89,0
粤B9XN26,02有排行无提醒,2,29,236.18,532.35,36.71
粤B3Q03K,02有排行无提醒,2,29,407.71,918.98,63.38
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
1.22E+16,02有排行无提醒,31,0,0,0,57.35
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
粤BL05M1,02有排行无提醒,8,23,43.03,96.99,33.74
粤JCL629,02有排行无提醒,19,12,62.12,140.02,221.7
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
皖AT0576,02有排行无提醒,1,30,1184.12,2669.01,88.97
皖AT0541,02有排行无提醒,0,31,1998.67,4505,0
皖AT0580,02有排行无提醒,0,31,384.46,866.57,0
粤B3Q03K,02有排行无提醒,3,28,323.47,729.1,78.12
皖AT0657,02有排行无提醒,0,31,1576.78,3554.06,0
皖AT0601,02有排行无提醒,4,27,1098.68,2476.42,366.88
皖AT0575,02有排行无提醒,6,25,1074.25,2421.36,581.13
皖AT0613,02有排行无提醒,3,28,866.68,1953.5,209.3
皖AT0620,02有排行无提醒,2,29,684.71,1543.34,106.44
粤JCL629,02有排行无提醒,8,23,158.47,357.19,124.24
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
1.22E+16,02有排行无提醒,31,0,0,0,57.35
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B9XN26,02有排行无提醒,17,14,140.76,317.27,385.26
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤BL05M1,02有排行无提醒,7,24,146.99,331.32,96.63
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0541,02有排行无提醒,1,28,628.5,1416.64,50.59
皖AT0580,02有排行无提醒,1,28,146.95,331.23,11.83
粤BL05M1,02有排行无提醒,19,10,111.03,250.26,475.5
皖AT0613,02有排行无提醒,19,10,35.04,78.98,150.06
粤JCL629,02有排行无提醒,18,11,16.28,36.7,60.05
皖AT0576,02有排行无提醒,23,6,2.01,4.53,17.37
皖AT0620,02有排行无提醒,19,10,53.37,120.3,228.56
皖AT0601,02有排行无提醒,20,9,167.37,377.25,838.34
皖AT0657,02有排行无提醒,1,28,608.93,1372.53,49.02
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,21,8,131.8,297.08,779.83
皖AT0543,02有排行无提醒,29,0,0,0,966.86
闽C88DN2,02有排行无提醒,29,0,0,0,101.79
粤B3Q03K,02有排行无提醒,7,20,45.71,103.03,36.06
1.22E+16,02有排行无提醒,29,0,0,0,53.65
皖AYY059,02有排行无提醒,29,0,0,0,228.52
粤B9XN26,02有排行无提醒,28,1,5.48,12.35,345.85
粤SL3H57,02有排行无提醒,29,0,0,0,130.5
粤B7U0H5,02有排行无提醒,29,0,0,0,112.81
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,3,28,917.16,2067.28,221.49
皖AT0601,02有排行无提醒,10,21,576.58,1299.61,618.86
皖AT0657,02有排行无提醒,0,31,1370.64,3089.42,0
皖AT0541,02有排行无提醒,0,31,1221.15,2752.47,0
皖AT0580,02有排行无提醒,0,31,154.32,347.84,0
皖AT0576,02有排行无提醒,5,26,717.58,1617.43,311.04
粤B3Q03K,02有排行无提醒,1,30,110.12,248.21,8.27
粤BL05M1,02有排行无提醒,23,8,73.31,165.24,475.07
皖AT0613,02有排行无提醒,15,16,397.64,896.28,840.26
皖AT0620,02有排行无提醒,2,29,576.39,1299.18,89.6
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
粤JCL629,02有排行无提醒,5,26,30.14,67.94,13.06
1.22E+16,02有排行无提醒,31,0,0,0,57.35
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B9XN26,02有排行无提醒,5,26,213.79,481.88,92.67
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0541,02有排行无提醒,0,30,1594.83,3594.75,0
皖AT0575,02有排行无提醒,6,24,1268.97,2860.26,715.06
皖AT0601,02有排行无提醒,0,30,1077.42,2428.5,0
皖AT0576,02有排行无提醒,0,30,1092.75,2463.06,0
皖AT0580,02有排行无提醒,7,23,265.99,599.54,182.47
皖AT0620,02有排行无提醒,0,30,787.33,1774.64,0
皖AT0657,02有排行无提醒,0,30,1138.86,2566.99,0
粤B3Q03K,02有排行无提醒,0,30,92.43,208.34,0
粤JCL629,02有排行无提醒,6,24,30.18,68.03,17.01
皖AT0641,02有排行无提醒,0,0,0,0,0
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AYY059,02有排行无提醒,30,0,0,0,236.4
1.22E+16,02有排行无提醒,30,0,0,0,55.5
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤B9XN26,02有排行无提醒,7,23,259.26,584.37,177.85
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
皖AT0613,02有排行无提醒,30,0,0,0,2387.1
粤BL05M1,02有排行无提醒,17,13,33.8,76.19,99.63
皖AT0601,02有排行无提醒,0,31,1247.22,2811.23,0
皖AT0541,02有排行无提醒,0,31,1854.03,4178.98,0
皖AT0657,02有排行无提醒,0,31,1230.5,2773.55,0
皖AT0576,02有排行无提醒,1,30,1034.1,2330.86,77.7
皖AT0620,02有排行无提醒,0,31,1002.63,2259.93,0
粤B9XN26,02有排行无提醒,5,26,283.74,639.55,122.99
粤B3Q03K,02有排行无提醒,1,30,101.15,227.99,7.6
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤JCL629,02有排行无提醒,18,13,23.48,52.92,73.28
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,31,0,0,0,3261.51
1.22E+16,02有排行无提醒,31,0,0,0,57.35
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
皖AT0580,02有排行无提醒,31,0,0,0,787.09
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤BL05M1,02有排行无提醒,16,15,96.39,217.26,231.75
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0613,02有排行无提醒,14,17,674.72,1520.82,1252.44
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
皖AT0601,02有排行无提醒,0,30,1222.4,2755.29,0
皖AT0541,02有排行无提醒,0,30,1193.62,2690.42,0
皖AT0576,02有排行无提醒,15,15,564.06,1271.39,1271.39
皖AT0657,02有排行无提醒,0,30,1100.49,2480.5,0
皖AT0620,02有排行无提醒,0,30,1119.33,2522.97,0
粤B9XN26,02有排行无提醒,3,27,306.88,691.71,76.86
粤JCL629,02有排行无提醒,7,23,47.47,107,32.56
粤B3Q03K,02有排行无提醒,0,30,117.29,264.37,0
粤BL05M1,02有排行无提醒,26,4,10.26,23.13,150.32
1.22E+16,02有排行无提醒,30,0,0,0,55.5
皖AT0575,02有排行无提醒,30,0,0,0,3156.3
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0580,02有排行无提醒,30,0,0,0,761.7
皖AYY059,02有排行无提醒,30,0,0,0,236.4
皖AT0613,02有排行无提醒,1,29,1137.56,2564.06,88.42
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0657,02有排行无提醒,0,15,617.32,1391.44,0
皖AT0613,02有排行无提醒,0,15,631.9,1424.3,0
皖AT0541,02有排行无提醒,0,15,625.97,1410.94,0
皖AT0620,02有排行无提醒,0,15,524.23,1181.61,0
皖AT0601,02有排行无提醒,0,15,627.24,1413.8,0
粤B9XN26,02有排行无提醒,2,13,140.06,315.7,48.57
粤JCL629,02有排行无提醒,4,11,25.59,57.68,20.97
粤BL05M1,02有排行无提醒,2,13,29.74,67.03,10.31
皖AT0580,02有排行无提醒,15,0,0,0,380.85
闽C88DN2,02有排行无提醒,15,0,0,0,52.65
皖AT0575,02有排行无提醒,15,0,0,0,1578.15
皖AT0641,02有排行无提醒,0,0,0,0,0
粤B3Q03K,02有排行无提醒,15,0,0,0,295.95
1.22E+16,02有排行无提醒,15,0,0,0,27.75
皖AYY059,02有排行无提醒,15,0,0,0,118.2
皖AT0543,02有排行无提醒,15,0,0,0,500.1
皖AT0576,02有排行无提醒,15,0,0,0,1302
粤SL3H57,02有排行无提醒,15,0,0,0,67.5
粤B7U0H5,02有排行无提醒,15,0,0,0,58.35
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0657,02有排行无提醒,23,8,434.7,979.81,2816.96
皖AT0601,02有排行无提醒,0,31,1564.82,3527.1,0
皖AT0620,02有排行无提醒,0,31,880.25,1984.08,0
皖AT0613,02有排行无提醒,0,31,980.36,2209.73,0
皖AT0541,02有排行无提醒,0,31,1360.72,3067.06,0
粤BL05M1,02有排行无提醒,9,21,88.35,199.14,85.35
闽C88DN2,02有排行无提醒,31,0,0,0,108.81
皖AT0580,02有排行无提醒,31,0,0,0,787.09
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0575,02有排行无提醒,31,0,0,0,3261.51
粤JCL629,02有排行无提醒,31,0,0,0,254.51
粤B3Q03K,02有排行无提醒,31,0,0,0,611.63
皖AYY059,02有排行无提醒,31,0,0,0,244.28
粤B9XN26,02有排行无提醒,31,0,0,0,681.38
皖AT0543,02有排行无提醒,31,0,0,0,1033.54
皖AT0576,02有排行无提醒,31,0,0,0,2690.8
粤SL3H57,02有排行无提醒,31,0,0,0,139.5
粤B7U0H5,02有排行无提醒,31,0,0,0,120.59
粤BN8G52,02有排行无提醒,0,0,0,0,0
皖AT0601,02有排行无提醒,8,22,879.55,1982.51,720.91
皖AT0613,02有排行无提醒,0,30,887.13,1999.59,0
皖AT0541,02有排行无提醒,7,23,866.94,1954.08,594.72
皖AT0620,02有排行无提醒,3,27,624.99,1408.73,156.53
粤BL05M1,02有排行无提醒,12,18,78.43,176.78,117.85
皖AT0641,02有排行无提醒,0,0,0,0,0
皖AT0580,02有排行无提醒,30,0,0,0,761.7
皖AT0657,02有排行无提醒,30,0,0,0,2942.7
皖AT0575,02有排行无提醒,30,0,0,0,3156.3
皖AT0543,02有排行无提醒,30,0,0,0,1000.2
粤JCL629,02有排行无提醒,30,0,0,0,246.3
闽C88DN2,02有排行无提醒,30,0,0,0,105.3
粤B3Q03K,02有排行无提醒,30,0,0,0,591.9
皖AYY059,02有排行无提醒,30,0,0,0,236.4
粤B9XN26,02有排行无提醒,30,0,0,0,659.4
皖AT0576,02有排行无提醒,30,0,0,0,2604
粤SL3H57,02有排行无提醒,30,0,0,0,135
粤B7U0H5,02有排行无提醒,30,0,0,0,116.7
粤BN8G52,02有排行无提醒,0,0,0,0,0
