"","车牌号","部门","绝色出行天数","行驶天数","油耗","碳排放.kg.","绿色出行减排.kg."
"1","粤BT2220","01有排行有提醒",1,13,198.27,446.9,34.38
"2","粤BT2220","01有排行有提醒",2,29,418.95,944.31,65.13
"3","粤BT2220","01有排行有提醒",0,31,396.77,894.32,0
"4","粤S45B27","01有排行有提醒",16,8,127.25,286.82,573.64
"5","粤LBY602","01有排行有提醒",10,12,88.66,199.84,166.53
"6","粤B2K335","01有排行有提醒",0,16,96.54,217.6,0
"7","粤L39ES3","01有排行有提醒",0,9,42.74,96.34,0
"8","粤B048RX","01有排行有提醒",0,12,41.99,94.65,0
"9","粤B3R80W","01有排行有提醒",0,9,51.04,115.04,0
"10","粤B2K335","01有排行有提醒",0,31,78.82,177.66,0
"11","粤BH218W","01有排行有提醒",28,3,0,0,0
"12","粤B3R80W","01有排行有提醒",2,29,72.59,163.62,11.28
"13","粤L39ES3","01有排行有提醒",0,12,81.42,183.52,0
"14","粤B048RX","01有排行有提醒",0,0,0,0,0
"15","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"16","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"17","粤BT2220","01有排行有提醒",5,26,366.08,825.14,158.68
"18","皖AT0626","01有排行有提醒",0,8,224.94,507.01,0
"19","皖AT0626","01有排行有提醒",5,25,491.69,1108.27,221.65
"20","粤L39ES3","01有排行有提醒",0,26,224.94,507.01,0
"21","粤BT2220","01有排行有提醒",0,30,413,930.9,0
"22","粤B3R80W","01有排行有提醒",2,28,94.71,213.48,15.25
"23","粤B2K335","01有排行有提醒",0,30,94.27,212.48,0
"24","粤LBY602","01有排行有提醒",30,0,0,0,360.3
"25","粤S45B27","01有排行有提醒",30,0,0,0,1109.4
"26","粤BH218W","01有排行有提醒",30,0,0,0,0
"27","粤B048RX","01有排行有提醒",0,0,0,0,0
"28","皖AT0553","01有排行有提醒",0,24,841.25,1896.18,0
"29","皖AT0547","01有排行有提醒",0,3,154.43,348.09,0
"30","皖AT0650","01有排行有提醒",0,3,142.51,321.22,0
"31","皖AT0642","01有排行有提醒",0,2,67.03,151.09,0
"32","皖AT0665","01有排行有提醒",0,3,102.68,231.44,0
"33","皖AT0599","01有排行有提醒",0,3,92.58,208.68,0
"34","皖AT0568","01有排行有提醒",0,3,55.33,124.71,0
"35","皖AT0600","01有排行有提醒",0,3,126.23,284.52,0
"36","皖AT0628","01有排行有提醒",0,3,98.52,222.06,0
"37","皖AT0609","01有排行有提醒",0,1,0.94,2.12,0
"38","皖AT0619","01有排行有提醒",0,2,22.39,50.47,0
"39","皖AT0547","01有排行有提醒",0,31,1808.74,4076.9,0
"40","皖AT0650","01有排行有提醒",0,31,1791.87,4038.87,0
"41","皖AT0568","01有排行有提醒",0,31,1729.02,3897.21,0
"42","皖AT0600","01有排行有提醒",0,31,1926.01,4341.23,0
"43","皖AT0665","01有排行有提醒",0,31,1217.3,2743.79,0
"44","皖AT0628","01有排行有提醒",1,30,1070.18,2412.19,80.41
"45","皖AT0553","01有排行有提醒",17,13,378.96,854.18,1117
"46","粤B2K335","01有排行有提醒",7,24,62.34,140.51,40.98
"47","粤L39ES3","01有排行有提醒",0,28,188.15,424.09,0
"48","粤BT2220","01有排行有提醒",0,31,402.77,907.84,0
"49","皖AT0619","01有排行有提醒",0,31,618.29,1393.63,0
"50","粤B3R80W","01有排行有提醒",0,31,113.18,255.11,0
"51","皖AT0642","01有排行有提醒",1,12,74.79,168.58,14.05
"52","皖AT0626","01有排行有提醒",31,0,0,0,1541.63
"53","皖AT0609","01有排行有提醒",0,0,0,0,0
"54","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"55","粤B048RX","01有排行有提醒",0,0,0,0,0
"56","粤BH218W","01有排行有提醒",31,0,0,0,0
"57","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"58","皖AT0599","01有排行有提醒",1,30,1076.8,2427.11,80.9
"59","皖AT0547","01有排行有提醒",2,29,1566.74,3531.43,243.55
"60","皖AT0600","01有排行有提醒",8,23,1257.14,2833.59,985.6
"61","皖AT0568","01有排行有提醒",8,23,1113.36,2509.51,872.87
"62","皖AT0650","01有排行有提醒",2,29,941.96,2123.18,146.43
"63","皖AT0665","01有排行有提醒",0,31,1284.27,2894.74,0
"64","皖AT0628","01有排行有提醒",4,27,934.72,2106.86,312.13
"65","皖AT0599","01有排行有提醒",0,31,960.07,2164,0
"66","皖AT0553","01有排行有提醒",6,24,944.21,2128.25,532.06
"67","粤B3R80W","01有排行有提醒",1,30,66.7,150.34,5.01
"68","皖AT0619","01有排行有提醒",0,31,881.37,1986.61,0
"69","粤L39ES3","01有排行有提醒",17,11,11.52,25.97,40.13
"70","皖AT0609","01有排行有提醒",0,0,0,0,0
"71","皖AT0642","01有排行有提醒",8,23,293.96,662.59,230.46
"72","粤BH218W","01有排行有提醒",31,0,0,0,0
"73","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"74","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"75","皖AT0626","01有排行有提醒",31,0,0,0,1541.63
"76","粤B2K335","01有排行有提醒",31,0,0,0,253.89
"77","粤B048RX","01有排行有提醒",0,0,0,0,0
"78","粤BT2220","01有排行有提醒",13,18,242.66,546.96,395.02
"79","皖AT0665","01有排行有提醒",0,29,1036.19,2335.57,0
"80","皖AT0599","01有排行有提醒",3,26,357.32,805.4,92.93
"81","粤B3R80W","01有排行有提醒",2,27,59.38,133.84,9.91
"82","皖AT0547","01有排行有提醒",20,9,48.62,109.59,243.53
"83","皖AT0600","01有排行有提醒",29,0,0,0,3837.28
"84","皖AT0628","01有排行有提醒",9,20,111.31,250.89,112.9
"85","皖AT0568","01有排行有提醒",17,12,178.69,402.77,570.59
"86","皖AT0642","01有排行有提醒",20,9,29.4,66.27,147.26
"87","皖AT0619","01有排行有提醒",12,17,82.64,186.27,131.49
"88","皖AT0650","01有排行有提醒",15,14,281.03,633.44,678.69
"89","皖AT0609","01有排行有提醒",0,0,0,0,0
"90","粤BH218W","01有排行有提醒",29,0,0,0,0
"91","粤S45B27","01有排行有提醒",29,0,0,0,1072.42
"92","粤LBY602","01有排行有提醒",29,0,0,0,348.29
"93","皖AT0626","01有排行有提醒",29,0,0,0,1442.17
"94","皖AT0553","01有排行有提醒",26,3,1.31,2.95,25.59
"95","粤L39ES3","01有排行有提醒",27,1,1.02,2.3,62.08
"96","粤B2K335","01有排行有提醒",29,0,0,0,237.51
"97","粤B048RX","01有排行有提醒",0,0,0,0,0
"98","粤BT2220","01有排行有提醒",29,0,0,0,840.13
"99","皖AT0665","01有排行有提醒",0,31,1140.77,2571.3,0
"100","皖AT0568","01有排行有提醒",0,31,1276.17,2876.49,0
"101","皖AT0650","01有排行有提醒",0,31,513.21,1156.78,0
"102","皖AT0628","01有排行有提醒",5,26,515.87,1162.77,223.61
"103","皖AT0599","01有排行有提醒",0,31,711.33,1603.34,0
"104","皖AT0619","01有排行有提醒",1,30,187.37,422.33,14.08
"105","皖AT0642","01有排行有提醒",11,20,119.96,270.39,148.71
"106","粤B3R80W","01有排行有提醒",0,31,69.25,156.09,0
"107","粤L39ES3","01有排行有提醒",21,10,2.44,5.5,11.55
"108","皖AT0609","01有排行有提醒",0,0,0,0,0
"109","皖AT0547","01有排行有提醒",31,0,0,0,3605.61
"110","皖AT0600","01有排行有提醒",31,0,0,0,4101.92
"111","粤BH218W","01有排行有提醒",31,0,0,0,0
"112","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"113","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"114","皖AT0626","01有排行有提醒",31,0,0,0,1541.63
"115","皖AT0553","01有排行有提醒",7,24,472.69,1065.44,310.75
"116","粤B2K335","01有排行有提醒",31,0,0,0,253.89
"117","粤B048RX","01有排行有提醒",0,0,0,0,0
"118","粤BT2220","01有排行有提醒",15,16,264.86,596.99,559.68
"119","皖AT0599","01有排行有提醒",0,30,1092.02,2461.41,0
"120","皖AT0568","01有排行有提醒",0,30,1572.87,3545.25,0
"121","皖AT0665","01有排行有提醒",0,30,1308.71,2949.83,0
"122","皖AT0553","01有排行有提醒",0,30,910.21,2051.61,0
"123","皖AT0650","01有排行有提醒",0,30,860.23,1938.96,0
"124","皖AT0628","01有排行有提醒",0,30,1152.84,2598.5,0
"125","粤BT2220","01有排行有提醒",7,23,384.96,867.7,264.08
"126","粤B3R80W","01有排行有提醒",0,30,71.8,161.84,0
"127","皖AT0642","01有排行有提醒",1,29,195.44,440.52,15.19
"128","粤L39ES3","01有排行有提醒",24,5,4.5,10.14,48.69
"129","皖AT0626","01有排行有提醒",30,0,0,0,1491.9
"130","粤LBY602","01有排行有提醒",30,0,0,0,360.3
"131","皖AT0547","01有排行有提醒",30,0,0,0,3489.3
"132","皖AT0619","01有排行有提醒",30,0,0,0,1093.5
"133","皖AT0609","01有排行有提醒",0,0,0,0,0
"134","粤B2K335","01有排行有提醒",30,0,0,0,245.7
"135","粤S45B27","01有排行有提醒",30,0,0,0,1109.4
"136","粤B048RX","01有排行有提醒",0,0,0,0,0
"137","粤BH218W","01有排行有提醒",30,0,0,0,0
"138","皖AT0600","01有排行有提醒",30,0,0,0,3969.6
"139","皖AT0628","01有排行有提醒",0,31,1310.49,2953.84,0
"140","皖AT0665","01有排行有提醒",0,31,1358.15,3061.27,0
"141","皖AT0568","01有排行有提醒",0,31,1625.69,3664.31,0
"142","皖AT0599","01有排行有提醒",0,31,1226.01,2763.43,0
"143","皖AT0553","01有排行有提醒",0,31,1147.98,2587.55,0
"144","皖AT0642","01有排行有提醒",0,31,231.85,522.59,0
"145","皖AT0650","01有排行有提醒",0,31,984.56,2219.2,0
"146","粤BT2220","01有排行有提醒",2,29,380.48,857.6,59.14
"147","粤B3R80W","01有排行有提醒",0,31,68.1,153.5,0
"148","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"149","皖AT0547","01有排行有提醒",31,0,0,0,3605.61
"150","皖AT0626","01有排行有提醒",31,0,0,0,1541.63
"151","皖AT0619","01有排行有提醒",31,0,0,0,1129.95
"152","皖AT0609","01有排行有提醒",0,0,0,0,0
"153","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"154","粤L39ES3","01有排行有提醒",27,4,4.7,10.59,71.51
"155","粤B048RX","01有排行有提醒",0,0,0,0,0
"156","皖AT0600","01有排行有提醒",31,0,0,0,4101.92
"157","粤BH218W","01有排行有提醒",31,0,0,0,0
"158","粤B2K335","01有排行有提醒",31,0,0,0,253.89
"159","皖AT0568","01有排行有提醒",0,30,1613.34,3636.47,0
"160","皖AT0628","01有排行有提醒",0,30,1376.96,3103.67,0
"161","皖AT0665","01有排行有提醒",1,29,1217.36,2743.93,94.62
"162","皖AT0650","01有排行有提醒",0,30,936.38,2110.6,0
"163","皖AT0553","01有排行有提醒",0,30,1148.44,2588.58,0
"164","皖AT0599","01有排行有提醒",0,30,1169.4,2635.83,0
"165","皖AT0642","01有排行有提醒",0,30,244.19,550.4,0
"166","粤BT2220","01有排行有提醒",1,29,410.27,924.75,31.89
"167","粤B3R80W","01有排行有提醒",0,30,68.81,155.1,0
"168","皖AT0626","01有排行有提醒",30,0,0,0,1491.9
"169","皖AT0547","01有排行有提醒",30,0,0,0,3489.3
"170","粤B048RX","01有排行有提醒",0,0,0,0,0
"171","皖AT0609","01有排行有提醒",0,0,0,0,0
"172","粤BH218W","01有排行有提醒",30,0,0,0,0
"173","皖AT0619","01有排行有提醒",30,0,0,0,1093.5
"174","粤L39ES3","01有排行有提醒",25,5,2.81,6.33,31.67
"175","粤S45B27","01有排行有提醒",30,0,0,0,1109.4
"176","粤LBY602","01有排行有提醒",30,0,0,0,360.3
"177","皖AT0600","01有排行有提醒",30,0,0,0,3969.6
"178","粤B2K335","01有排行有提醒",30,0,0,0,245.7
"179","皖AT0599","01有排行有提醒",0,15,524.67,1182.61,0
"180","皖AT0650","01有排行有提醒",0,15,471.53,1062.83,0
"181","皖AT0628","01有排行有提醒",0,15,657.6,1482.23,0
"182","皖AT0665","01有排行有提醒",0,15,701.39,1580.93,0
"183","皖AT0553","01有排行有提醒",1,14,529.2,1192.82,85.2
"184","皖AT0568","01有排行有提醒",0,15,769.19,1733.75,0
"185","皖AT0642","01有排行有提醒",9,6,40.55,91.4,137.1
"186","粤BT2220","01有排行有提醒",7,8,136.33,307.29,268.88
"187","粤B3R80W","01有排行有提醒",0,15,28.99,65.34,0
"188","皖AT0609","01有排行有提醒",0,0,0,0,0
"189","皖AT0600","01有排行有提醒",15,0,0,0,1984.8
"190","皖AT0619","01有排行有提醒",15,0,0,0,546.75
"191","皖AT0547","01有排行有提醒",15,0,0,0,1744.65
"192","粤BH218W","01有排行有提醒",15,0,0,0,0
"193","粤S45B27","01有排行有提醒",15,0,0,0,554.7
"194","粤LBY602","01有排行有提醒",15,0,0,0,180.15
"195","皖AT0626","01有排行有提醒",15,0,0,0,745.95
"196","粤B048RX","01有排行有提醒",0,0,0,0,0
"197","粤L39ES3","01有排行有提醒",12,3,3.79,8.54,34.17
"198","粤B2K335","01有排行有提醒",15,0,0,0,122.85
"199","皖AT0568","01有排行有提醒",0,31,1863.1,4199.43,0
"200","皖AT0650","01有排行有提醒",0,31,1130.48,2548.1,0
"201","皖AT0665","01有排行有提醒",0,31,1482.49,3341.53,0
"202","皖AT0553","01有排行有提醒",0,31,1320.11,2975.53,0
"203","皖AT0599","01有排行有提醒",0,31,898.24,2024.63,0
"204","皖AT0628","01有排行有提醒",1,30,1506.54,3395.74,113.19
"205","皖AT0642","01有排行有提醒",3,28,236.32,532.67,57.07
"206","粤BT2220","01有排行有提醒",3,28,495.81,1117.56,119.74
"207","粤B3R80W","01有排行有提醒",30,1,1,2.25,67.62
"208","皖AT0619","01有排行有提醒",31,0,0,0,1129.95
"209","皖AT0609","01有排行有提醒",0,0,0,0,0
"210","皖AT0600","01有排行有提醒",31,0,0,0,4101.92
"211","皖AT0547","01有排行有提醒",31,0,0,0,3605.61
"212","粤BH218W","01有排行有提醒",31,0,0,0,0
"213","粤S45B27","01有排行有提醒",31,0,0,0,1146.38
"214","粤LBY602","01有排行有提醒",31,0,0,0,372.31
"215","皖AT0626","01有排行有提醒",31,0,0,0,1541.63
"216","粤B048RX","01有排行有提醒",0,0,0,0,0
"217","粤L39ES3","01有排行有提醒",31,0,0,0,388.43
"218","粤B2K335","01有排行有提醒",31,0,0,0,253.89
"219","皖AT0568","01有排行有提醒",0,30,1642.91,3703.12,0
"220","皖AT0628","01有排行有提醒",0,30,1352.54,3048.63,0
"221","皖AT0553","01有排行有提醒",0,30,1178.48,2656.29,0
"222","皖AT0665","01有排行有提醒",0,30,1406.33,3169.87,0
"223","皖AT0650","01有排行有提醒",0,30,972.1,2191.11,0
"224","皖AT0599","01有排行有提醒",0,30,835.48,1883.17,0
"225","皖AT0642","01有排行有提醒",3,27,224,504.9,56.1
"226","粤BT2220","01有排行有提醒",6,24,326.64,736.25,184.06
"227","皖AT0609","01有排行有提醒",0,0,0,0,0
"228","皖AT0547","01有排行有提醒",30,0,0,0,3489.3
"229","皖AT0619","01有排行有提醒",30,0,0,0,1093.5
"230","皖AT0600","01有排行有提醒",30,0,0,0,3969.6
"231","粤BH218W","01有排行有提醒",30,0,0,0,0
"232","粤S45B27","01有排行有提醒",30,0,0,0,1109.4
"233","粤LBY602","01有排行有提醒",30,0,0,0,360.3
"234","皖AT0626","01有排行有提醒",30,0,0,0,1491.9
"235","粤L39ES3","01有排行有提醒",30,0,0,0,375.9
"236","粤B2K335","01有排行有提醒",30,0,0,0,245.7
"237","粤B3R80W","01有排行有提醒",30,0,0,0,180.3
"238","粤B048RX","01有排行有提醒",0,0,0,0,0
"239","粤B3Q03K","02有排行无提醒",0,7,65.81,148.34,0
"240","闽C88DN2","02有排行无提醒",0,2,2.03,4.58,0
"241","粤B3Q03K","02有排行无提醒",0,31,416.96,939.83,0
"242","闽C88DN2","02有排行无提醒",0,31,52.21,117.68,0
"243","粤JCL629","02有排行无提醒",8,15,85.55,192.83,102.84
"244","粤B9XN26","02有排行无提醒",0,10,109.43,246.66,0
"245","粤BN8G52","02有排行无提醒",0,10,11.98,27,0
"246","粤B7U0H5","02有排行无提醒",2,9,23.5,52.97,11.77
"247","粤B3Q03K","02有排行无提醒",0,31,355.81,802,0
"248","粤B7U0H5","02有排行无提醒",6,25,40.11,90.41,21.7
"249","闽C88DN2","02有排行无提醒",28,3,4.98,11.22,104.77
"250","粤BN8G52","02有排行无提醒",0,0,0,0,0
"251","粤JCL629","02有排行无提醒",15,16,119.63,269.65,252.79
"252","粤B9XN26","02有排行无提醒",7,24,210.09,473.54,138.12
"253","皖AYY059","02有排行无提醒",4,4,13.79,31.08,31.08
"254","皖AT0540","04无排行无提醒",0,30,1307.13,2946.27,0
"255","皖AT0626","01有排行有提醒",5,25,491.69,1108.27,221.65
"256","粤B0Y92H","04无排行无提醒",13,17,162.49,366.25,280.08
"257","粤B3Q03K","02有排行无提醒",1,29,407.74,919.05,31.69
"258","粤L39ES3","01有排行有提醒",0,26,224.94,507.01,0
"259","粤JCL629","02有排行无提醒",18,12,59.95,135.13,202.69
"260","粤BT2220","01有排行有提醒",0,30,413,930.9,0
"261","粤B9XN26","02有排行无提醒",5,25,246.46,555.52,111.1
"262","粤B2X562","03无排行有提醒",1,29,72.87,164.25,5.66
"263","粤B3R80W","01有排行有提醒",2,28,94.71,213.48,15.25
"264","粤B892VK","03无排行有提醒",28,2,2.92,6.58,92.14
"265","粤B2K335","01有排行有提醒",0,30,94.27,212.48,0
"266","粤B7U0H5","02有排行无提醒",26,4,5.01,11.29,73.4
"267","粤STC809","03无排行有提醒",0,30,395.89,892.34,0
"268","粤PR5795","04无排行无提醒",8,22,38.71,87.25,31.73
"269","粤STB959","04无排行无提醒",16,14,31.08,70.05,80.06
"270","粤BN8G52","02有排行无提醒",0,0,0,0,0
"271","粤BP439V","04无排行无提醒",7,23,98.71,222.49,67.72
"272","皖AYY059","02有排行无提醒",30,0,0,0,236.4
"273","渝D865V3","03无排行有提醒",30,0,0,0,303.6
"274","粤TEST01","03无排行有提醒",0,0,0,0,0
"275","粤B83CT2","04无排行无提醒",29,1,1.13,2.55,73.86
"276","粤B4C0S6","04无排行无提醒",30,0,0,0,564.3
"277","粤BY1047","03无排行有提醒",30,0,0,0,81
"278","粤LBY602","01有排行有提醒",30,0,0,0,360.3
"279","粤B3AU48","03无排行有提醒",30,0,0,0,111.3
"280","闽C88DN2","02有排行无提醒",30,0,0,0,105.3
"281","粤S45B27","01有排行有提醒",30,0,0,0,1109.4
"282","粤B533CJ","03无排行有提醒",30,0,0,0,148.2
"283","粤B3RC91","04无排行无提醒",30,0,0,0,251.1
"284","粤BH218W","01有排行有提醒",30,0,0,0,0
"285","粤S09158","04无排行无提醒",30,0,0,0,299.7
"286","粤B048RX","01有排行有提醒",0,0,0,0,0
"287","粤BS207S","03无排行有提醒",0,9,27.6,62.21,0
"288","皖AT0553","01有排行有提醒",0,24,841.25,1896.18,0
"289","皖AT0576","02有排行无提醒",0,23,919.03,2071.49,0
"290","粤SL3H57","02有排行无提醒",19,4,7.99,18.01,85.54
"291","粤BL05M1","02有排行无提醒",5,1,1.97,4.44,22.2
"292","皖AT0575","02有排行无提醒",0,3,111.66,251.68,0
"293","皖AT0601","02有排行无提醒",0,3,158.83,358,0
"294","皖AT0623","04无排行无提醒",0,3,110.16,248.3,0
"295","皖AT0658","04无排行无提醒",0,3,91.38,205.97,0
"296","皖AT0560","04无排行无提醒",0,3,167.59,377.75,0
"297","皖AT0549","03无排行有提醒",0,3,179.29,404.12,0
"298","皖AT0580","02有排行无提醒",0,3,64.11,144.5,0
"299","皖AT0579","03无排行有提醒",0,3,95.54,215.35,0
"300","皖AT0547","01有排行有提醒",0,3,154.43,348.09,0
"301","皖AT0541","02有排行无提醒",0,3,174.5,393.32,0
"302","皖AT0621","03无排行有提醒",0,3,139.57,314.59,0
"303","皖AT0657","02有排行无提醒",0,3,155.49,350.47,0
"304","皖AT0631","03无排行有提醒",0,3,126.51,285.15,0
"305","皖AT0589","03无排行有提醒",0,3,97.43,219.61,0
"306","皖AT0650","01有排行有提醒",0,3,142.51,321.22,0
"307","皖AT0632","03无排行有提醒",0,3,165.72,373.53,0
"308","皖AT0563","03无排行有提醒",0,2,23.57,53.13,0
"309","皖AT0641","02有排行无提醒",0,3,97.56,219.9,0
"310","皖AT0596","03无排行有提醒",0,3,120.54,271.7,0
"311","皖AT0642","01有排行有提醒",0,2,67.03,151.09,0
"312","皖AT0633","03无排行有提醒",0,3,134.8,303.84,0
"313","皖AT0565","04无排行无提醒",0,3,124.88,281.48,0
"314","皖AT0665","01有排行有提醒",0,3,102.68,231.44,0
"315","皖AT0613","02有排行无提醒",0,3,121.39,273.61,0
"316","皖AT0599","01有排行有提醒",0,3,92.58,208.68,0
"317","皖AT0591","03无排行有提醒",0,3,144.26,325.16,0
"318","皖AT0666","04无排行无提醒",0,3,93.85,211.54,0
"319","皖AT0568","01有排行有提醒",0,3,55.33,124.71,0
"320","皖AT0608","04无排行无提醒",0,2,56.25,126.79,0
"321","皖AT0661","04无排行无提醒",0,3,91.51,206.26,0
"322","皖AT0600","01有排行有提醒",0,3,126.23,284.52,0
"323","皖AT0539","03无排行有提醒",0,3,132.05,297.64,0
"324","皖AT0543","02有排行无提醒",2,1,14.79,33.34,66.67
"325","皖AT0628","01有排行有提醒",0,3,98.52,222.06,0
"326","皖AT0620","02有排行无提醒",0,3,60.18,135.65,0
"327","皖AT0616","04无排行无提醒",0,3,86.75,195.53,0
"328","皖AT0556","04无排行无提醒",0,1,5.29,11.92,0
"329","皖AT0609","01有排行有提醒",0,1,0.94,2.12,0
"330","1.22E+16","02有排行无提醒",2,1,0.82,1.85,3.7
"331","1.22E+16","03无排行有提醒",2,1,0.26,0.59,1.17
"332","皖AT0619","01有排行有提醒",0,2,22.39,50.47,0
"333","皖AT0580","02有排行无提醒",0,31,624.08,1406.68,0
